"animalID","season","age","birth_date","pupping_exp","total_resights","count_1_pup","MOA_proportion","dominant_area","avg_density","n_extreme_both","pupID","Wt_wean_corrected"
16190,2003,4,2003-01-14,0,21,20,0.952380952380952,NA,NA,19,1709,123.735268924903
16218,2005,6,2005-02-03,2,18,18,1,NA,NA,12,17131,101.092859268711
16218,2011,12,2011-01-18,8,25,17,0.68,NA,NA,10,37843,119.905973590263
16236,2014,15,2014-01-19,9,15,15,1,NA,NA,6,NA,NA
16258,2003,4,2003-01-13,0,17,17,1,NA,NA,19,NA,NA
16295,2004,5,2004-01-18,1,17,15,0.88235294117647,NA,NA,16,2443,124.741563963732
16295,2006,7,2006-01-27,3,16,16,1,NA,NA,37,3125,150.855374239127
16322,2010,10,2010-01-16,3,15,14,0.933333333333333,NA,NA,42,NA,NA
16339,2010,8,2010-01-22,4,17,16,0.941176470588235,NA,NA,42,36087,132.676487107792
16339,2011,9,2011-01-23,5,18,17,0.944444444444444,NA,NA,10,38315,151.789463243703
16359,2010,8,2010-01-24,4,14,14,1,NA,NA,42,NA,NA
16411,2011,11,2011-01-10,3,15,15,1,NA,NA,10,NA,NA
16411,2012,12,2012-01-10,4,19,18,0.947368421052632,NA,NA,15,40183,140.883062359366
16411,2013,13,2013-01-12,5,18,17,0.944444444444444,NA,NA,19,NA,NA
16411,2017,17,2017-01-10,8,16,16,1,"BMS",24.3695652173913,30,NA,NA
16429,2012,12,2012-01-02,4,21,21,1,NA,NA,15,NA,NA
16429,2014,14,2014-01-11,6,16,16,1,NA,NA,6,NA,NA
16434,2010,11,2010-01-11,6,16,15,0.9375,NA,NA,42,NA,NA
16434,2011,12,2011-01-13,7,15,15,1,NA,NA,10,37653,146.519945449797
16464,2004,4,2004-01-05,0,17,17,1,NA,NA,16,NA,NA
16464,2010,10,2010-01-24,5,20,20,1,NA,NA,42,36077,153.092516646576
16503,2004,4,2004-01-13,0,18,13,0.722222222222222,NA,NA,16,NA,NA
16545,2004,4,2004-01-25,0,16,16,1,NA,NA,16,2375,89.0339976313646
16545,2010,10,2010-01-06,3,22,21,0.954545454545455,NA,NA,42,36088,82.5782326878404
16545,2011,11,2011-01-11,4,16,16,1,NA,NA,10,38033,101.014825808672
16545,2012,12,2012-01-06,5,20,20,1,NA,NA,15,40122,129.810941282615
16545,2013,13,2013-01-06,6,26,26,1,NA,NA,19,NA,NA
16553,2005,5,2005-01-23,1,20,20,1,NA,NA,12,17090,128.015805568747
16553,2009,9,2009-01-03,4,14,14,1,NA,NA,12,NA,NA
16553,2010,10,2009-12-31,5,15,12,0.8,NA,NA,42,NA,NA
16553,2012,12,2011-12-31,7,18,17,0.944444444444444,NA,NA,15,NA,NA
16563,2007,7,2007-01-26,2,14,14,1,NA,NA,17,20439,103.640707894107
16608,2005,5,2005-02-09,1,17,17,1,NA,NA,12,2967,107.639624186705
16608,2010,10,2010-01-19,4,15,15,1,NA,NA,42,35964,129.601948523972
16728,2008,5,2008-01-24,1,14,14,1,NA,NA,30,32820,127.506153281543
16758,2010,10,2010-01-10,3,20,19,0.95,NA,NA,42,35877,140.268985882411
16774,2011,10,2011-01-12,3,15,13,0.866666666666667,NA,NA,10,38111,137.514879852855
16792,2012,12,2012-01-22,5,17,16,0.941176470588235,NA,NA,15,NA,NA
16792,2013,13,2013-01-23,6,17,17,1,NA,NA,19,41917,141.666221415549
16945,2010,9,2010-01-25,3,15,15,1,NA,NA,42,NA,NA
16945,2011,10,2011-01-23,4,14,13,0.928571428571429,NA,NA,10,NA,NA
16971,2010,9,2010-01-17,5,14,14,1,NA,NA,42,NA,NA
16971,2014,13,2014-01-16,9,18,18,1,NA,NA,6,44055,156.596734857327
17045,2006,5,2006-01-08,1,16,15,0.9375,NA,NA,37,17588,116.979633867177
17071,2022,17,2022-01-06,7,20,20,1,"APG",24.5,6,NA,NA
17080,2011,6,2011-01-10,1,16,13,0.8125,NA,NA,10,NA,NA
17080,2017,12,2017-01-30,6,15,15,1,"TSC",17,30,48287,140.712291959569
17087,2012,7,2012-01-29,3,16,14,0.875,NA,NA,15,40187,147.71465745197
17087,2013,8,2013-01-28,4,15,15,1,NA,NA,19,42580,151.177363830282
17087,2014,9,2014-01-21,5,17,17,1,NA,NA,6,44191,142.513073206731
17087,2015,10,2015-01-19,6,16,15,0.9375,NA,NA,1,NA,NA
17094,2010,5,2010-01-06,1,16,16,1,NA,NA,42,NA,NA
17094,2013,8,2013-01-08,4,14,14,1,NA,NA,19,41766,136.483038954037
17159,2010,5,2010-01-20,1,21,21,1,NA,NA,42,35980,118.004067488378
17210,2010,5,2010-01-06,0,14,14,1,NA,NA,42,NA,NA
17210,2012,7,2012-01-08,1,19,18,0.947368421052632,NA,NA,15,39824,137.564129028299
17210,2013,8,2013-01-09,2,22,18,0.818181818181818,NA,NA,19,NA,NA
17210,2014,9,2014-01-12,3,14,14,1,NA,NA,6,44150,137.489873059732
17210,2015,10,2015-01-11,4,19,19,1,NA,NA,1,45126,153.060040184047
17258,2010,5,2010-01-22,1,15,15,1,NA,NA,42,NA,NA
17258,2011,6,2011-01-25,2,17,17,1,NA,NA,10,38171,132.316720769836
17258,2012,7,2012-01-23,3,17,14,0.823529411764706,NA,NA,15,NA,NA
17258,2021,16,2021-01-30,11,14,14,1,"NP4",15.7213114754098,37,53285,127.957866880042
17258,2022,17,2022-01-23,12,15,11,0.733333333333333,"NP3",14.0588235294118,6,NA,NA
17302,2014,9,2014-01-03,1,20,20,1,NA,NA,6,NA,NA
17302,2015,10,2015-01-05,2,15,15,1,NA,NA,1,NA,NA
17302,2017,12,2017-01-12,4,18,18,1,NA,NA,30,NA,NA
17302,2021,16,2020-12-29,7,21,21,1,"APG",42.9950372208437,37,NA,NA
17302,2022,17,2022-01-04,8,16,16,1,"APG",24.5,6,NA,NA
17302,2024,19,2023-12-30,9,18,16,0.888888888888889,"APG",26.7880794701987,NA,NA,NA
17352,2011,6,2011-01-10,2,17,17,1,NA,NA,10,NA,NA
17361,2015,10,2015-01-15,2,16,16,1,NA,NA,1,NA,NA
17397,2009,4,2009-01-03,0,15,14,0.933333333333333,NA,NA,12,NA,NA
17398,2012,7,2012-01-08,3,17,16,0.941176470588235,NA,NA,15,NA,NA
17398,2013,8,2013-01-13,4,21,21,1,NA,NA,19,41783,150.88212024251
17516,2012,7,2012-02-01,3,15,15,1,NA,NA,15,40188,139.044958488967
17516,2015,10,2015-01-27,6,15,13,0.866666666666667,NA,NA,1,NA,NA
17540,2010,5,2010-01-10,0,19,15,0.789473684210526,NA,NA,42,NA,NA
17637,2012,6,2012-02-03,2,17,16,0.941176470588235,NA,NA,15,40642,133.469600099953
17637,2019,13,2019-01-12,7,15,15,1,"NP3",17,36,49970,144.384788360079
17646,2010,4,2010-01-04,0,21,14,0.666666666666667,NA,NA,42,NA,NA
17671,2012,6,2012-01-21,0,14,14,1,NA,NA,15,40045,94.0425459400398
17671,2013,7,2013-01-19,1,14,14,1,NA,NA,19,42507,91.1483001907048
17692,2011,5,2011-01-02,0,15,1,0.0666666666666667,NA,NA,10,NA,NA
17705,2010,4,2010-01-11,0,18,18,1,NA,NA,42,NA,NA
17705,2011,5,2011-01-08,1,17,16,0.941176470588235,NA,NA,10,NA,NA
17705,2012,6,2012-01-07,2,14,14,1,NA,NA,15,40050,155.518013228036
17705,2013,7,2013-01-13,3,19,19,1,NA,NA,19,42307,143.854824847652
17705,2015,9,2015-01-16,5,18,18,1,NA,NA,1,NA,NA
17705,2017,11,2017-01-15,7,15,5,0.333333333333333,NA,NA,30,NA,NA
17705,2021,15,2021-01-21,9,19,19,1,"NP1",20.8166666666667,37,NA,NA
17774,2011,5,2011-01-25,0,18,18,1,NA,NA,10,NA,NA
17783,2011,5,2011-01-15,1,14,14,1,NA,NA,10,NA,NA
17786,2010,4,2010-01-11,0,23,17,0.739130434782609,NA,NA,42,NA,NA
17786,2012,6,2012-01-26,2,15,15,1,NA,NA,15,40613,110.12767231479
17931,1996,11,1996-01-25,5,23,23,1,NA,NA,13,14765,142.01165450635
17931,1997,12,1997-01-31,6,19,19,1,NA,NA,0,15437,132.902051811423
17975,2004,7,2003-12-31,2,14,14,1,NA,NA,16,NA,NA
17996,2011,9,2011-01-17,3,17,17,1,NA,NA,10,37710,80.5651766447348
18080,1996,11,1996-01-30,8,25,25,1,NA,NA,13,NA,NA
19595,1996,5,1996-02-04,0,28,27,0.964285714285714,NA,NA,13,NA,NA
19604,1996,4,1996-01-23,0,23,4,0.173913043478261,NA,NA,13,NA,NA
19604,1997,5,1997-01-16,1,22,20,0.909090909090909,NA,NA,0,NA,NA
19605,1997,5,1997-01-26,1,17,16,0.941176470588235,NA,NA,0,NA,NA
19605,2003,11,2003-01-14,3,16,16,1,NA,NA,19,1768,100.050011669823
19607,1996,3,1996-01-20,0,23,23,1,NA,NA,13,NA,NA
19607,1997,4,1997-01-21,1,21,20,0.952380952380952,NA,NA,0,NA,NA
19612,2004,5,2004-02-05,0,17,16,0.941176470588235,NA,NA,16,2581,119.015809718444
19681,2001,5,2001-01-14,0,16,2,0.125,NA,NA,25,NA,NA
19697,2002,4,2002-01-02,0,26,26,1,NA,NA,11,1219,100.419784765796
19899,2010,7,2010-01-02,3,18,18,1,NA,NA,42,35746,121.9844935734
19971,2012,11,2011-12-28,6,18,18,1,NA,NA,15,NA,NA
19971,2013,12,2013-01-04,7,18,18,1,NA,NA,19,41762,157.851030413128
19983,2004,3,2004-01-05,0,14,7,0.5,NA,NA,16,NA,NA
19988,2012,11,2012-01-29,7,18,18,1,NA,NA,15,40109,146.457377924118
19988,2019,18,2019-01-22,12,16,16,1,"BMS",15.2083333333333,36,NA,NA
19993,2012,11,2012-01-24,6,17,17,1,NA,NA,15,40379,129.971922764538
20079,1996,7,1996-01-07,2,19,19,1,NA,NA,13,NA,NA
20186,2001,10,2000-12-29,3,16,16,1,NA,NA,25,16778,128.623651671346
20200,1996,5,1996-01-07,1,16,15,0.9375,NA,NA,13,NA,NA
20258,1996,12,1996-01-20,4,25,25,1,NA,NA,13,14452,104.018365892509
