"Date","time_GMT","tide_height","season","tide_datetime"
1995-12-28,09:00:00,3.33,1996,"1995-12-28 09:00:00"
1995-12-28,10:00:00,4.38,1996,"1995-12-28 10:00:00"
1995-12-28,11:00:00,4.94,1996,"1995-12-28 11:00:00"
1995-12-28,12:00:00,5.07,1996,"1995-12-28 12:00:00"
1995-12-28,13:00:00,4.8,1996,"1995-12-28 13:00:00"
1995-12-28,14:00:00,4.2,1996,"1995-12-28 14:00:00"
1995-12-28,15:00:00,3.27,1996,"1995-12-28 15:00:00"
1995-12-28,16:00:00,2.65,1996,"1995-12-28 16:00:00"
1995-12-28,17:00:00,1.89,1996,"1995-12-28 17:00:00"
1995-12-28,18:00:00,1.57,1996,"1995-12-28 18:00:00"
1995-12-28,19:00:00,1.69,1996,"1995-12-28 19:00:00"
1995-12-28,20:00:00,1.9,1996,"1995-12-28 20:00:00"
1995-12-28,21:00:00,2.43,1996,"1995-12-28 21:00:00"
1995-12-28,22:00:00,2.99,1996,"1995-12-28 22:00:00"
1995-12-28,23:00:00,3.27,1996,"1995-12-28 23:00:00"
1995-12-29,00:00:00,3.45,1996,"1995-12-29 00:00:00"
1995-12-29,01:00:00,3.23,1996,"1995-12-29 01:00:00"
1995-12-29,02:00:00,2.79,1996,"1995-12-29 02:00:00"
1995-12-29,03:00:00,2.17,1996,"1995-12-29 03:00:00"
1995-12-29,04:00:00,1.23,1996,"1995-12-29 04:00:00"
1995-12-29,05:00:00,0.97,1996,"1995-12-29 05:00:00"
1995-12-29,06:00:00,0.97,1996,"1995-12-29 06:00:00"
1995-12-29,07:00:00,1.24,1996,"1995-12-29 07:00:00"
1995-12-29,08:00:00,1.78,1996,"1995-12-29 08:00:00"
1995-12-29,09:00:00,2.53,1996,"1995-12-29 09:00:00"
1995-12-29,10:00:00,3.45,1996,"1995-12-29 10:00:00"
1995-12-29,11:00:00,4.39,1996,"1995-12-29 11:00:00"
1995-12-29,12:00:00,4.92,1996,"1995-12-29 12:00:00"
1995-12-29,13:00:00,5.01,1996,"1995-12-29 13:00:00"
1995-12-29,14:00:00,4.68,1996,"1995-12-29 14:00:00"
1995-12-29,15:00:00,4.2,1996,"1995-12-29 15:00:00"
1995-12-29,16:00:00,3.27,1996,"1995-12-29 16:00:00"
1995-12-29,17:00:00,2.35,1996,"1995-12-29 17:00:00"
1995-12-29,18:00:00,1.72,1996,"1995-12-29 18:00:00"
1995-12-29,19:00:00,1.2,1996,"1995-12-29 19:00:00"
1995-12-29,20:00:00,1.25,1996,"1995-12-29 20:00:00"
1995-12-29,21:00:00,1.44,1996,"1995-12-29 21:00:00"
1995-12-29,22:00:00,1.93,1996,"1995-12-29 22:00:00"
1995-12-29,23:00:00,2.47,1996,"1995-12-29 23:00:00"
1995-12-30,00:00:00,2.9,1996,"1995-12-30 00:00:00"
1995-12-30,01:00:00,3.1,1996,"1995-12-30 01:00:00"
1995-12-30,02:00:00,3.1,1996,"1995-12-30 02:00:00"
1995-12-30,03:00:00,2.8,1996,"1995-12-30 03:00:00"
1995-12-30,04:00:00,2.52,1996,"1995-12-30 04:00:00"
1995-12-30,05:00:00,1.91,1996,"1995-12-30 05:00:00"
1995-12-30,06:00:00,1.67,1996,"1995-12-30 06:00:00"
1995-12-30,07:00:00,1.42,1996,"1995-12-30 07:00:00"
1995-12-30,08:00:00,1.72,1996,"1995-12-30 08:00:00"
1995-12-30,09:00:00,2.22,1996,"1995-12-30 09:00:00"
1995-12-30,10:00:00,3.13,1996,"1995-12-30 10:00:00"
1995-12-30,11:00:00,3.85,1996,"1995-12-30 11:00:00"
1995-12-30,12:00:00,4.84,1996,"1995-12-30 12:00:00"
1995-12-30,13:00:00,5.31,1996,"1995-12-30 13:00:00"
1995-12-30,14:00:00,5.34,1996,"1995-12-30 14:00:00"
1995-12-30,15:00:00,4.76,1996,"1995-12-30 15:00:00"
1995-12-30,16:00:00,3.86,1996,"1995-12-30 16:00:00"
1995-12-30,17:00:00,3.11,1996,"1995-12-30 17:00:00"
1995-12-30,18:00:00,2.06,1996,"1995-12-30 18:00:00"
1995-12-30,19:00:00,1.32,1996,"1995-12-30 19:00:00"
1995-12-30,20:00:00,0.88,1996,"1995-12-30 20:00:00"
1995-12-30,21:00:00,0.65,1996,"1995-12-30 21:00:00"
1995-12-30,22:00:00,0.75,1996,"1995-12-30 22:00:00"
1995-12-30,23:00:00,1.42,1996,"1995-12-30 23:00:00"
1995-12-31,00:00:00,1.92,1996,"1995-12-31 00:00:00"
1995-12-31,01:00:00,2.66,1996,"1995-12-31 01:00:00"
1995-12-31,02:00:00,3,1996,"1995-12-31 02:00:00"
1995-12-31,03:00:00,2.88,1996,"1995-12-31 03:00:00"
1995-12-31,04:00:00,2.83,1996,"1995-12-31 04:00:00"
1995-12-31,05:00:00,2.53,1996,"1995-12-31 05:00:00"
1995-12-31,06:00:00,2.12,1996,"1995-12-31 06:00:00"
1995-12-31,07:00:00,1.78,1996,"1995-12-31 07:00:00"
1995-12-31,08:00:00,1.75,1996,"1995-12-31 08:00:00"
1995-12-31,09:00:00,2.03,1996,"1995-12-31 09:00:00"
1995-12-31,10:00:00,2.58,1996,"1995-12-31 10:00:00"
1995-12-31,11:00:00,3.27,1996,"1995-12-31 11:00:00"
1995-12-31,12:00:00,4.25,1996,"1995-12-31 12:00:00"
1995-12-31,13:00:00,4.86,1996,"1995-12-31 13:00:00"
1995-12-31,14:00:00,5.17,1996,"1995-12-31 14:00:00"
1995-12-31,15:00:00,5.06,1996,"1995-12-31 15:00:00"
1995-12-31,16:00:00,4.68,1996,"1995-12-31 16:00:00"
1995-12-31,17:00:00,3.82,1996,"1995-12-31 17:00:00"
1995-12-31,18:00:00,2.71,1996,"1995-12-31 18:00:00"
1995-12-31,19:00:00,1.59,1996,"1995-12-31 19:00:00"
1995-12-31,20:00:00,0.77,1996,"1995-12-31 20:00:00"
1995-12-31,21:00:00,0.23,1996,"1995-12-31 21:00:00"
1995-12-31,22:00:00,0.12,1996,"1995-12-31 22:00:00"
1995-12-31,23:00:00,0.45,1996,"1995-12-31 23:00:00"
1996-01-01,00:00:00,1.14,1996,"1996-01-01 00:00:00"
1996-01-01,01:00:00,1.83,1996,"1996-01-01 01:00:00"
1996-01-01,02:00:00,2.5,1996,"1996-01-01 02:00:00"
1996-01-01,03:00:00,3,1996,"1996-01-01 03:00:00"
1996-01-01,04:00:00,3.14,1996,"1996-01-01 04:00:00"
1996-01-01,05:00:00,3.13,1996,"1996-01-01 05:00:00"
1996-01-01,06:00:00,2.69,1996,"1996-01-01 06:00:00"
1996-01-01,07:00:00,2.37,1996,"1996-01-01 07:00:00"
1996-01-01,08:00:00,2.13,1996,"1996-01-01 08:00:00"
1996-01-01,09:00:00,2.04,1996,"1996-01-01 09:00:00"
1996-01-01,10:00:00,2.3,1996,"1996-01-01 10:00:00"
1996-01-01,11:00:00,2.97,1996,"1996-01-01 11:00:00"
1996-01-01,12:00:00,3.76,1996,"1996-01-01 12:00:00"
1996-01-01,13:00:00,4.56,1996,"1996-01-01 13:00:00"
1996-01-01,14:00:00,5.13,1996,"1996-01-01 14:00:00"
1996-01-01,15:00:00,5.37,1996,"1996-01-01 15:00:00"
1996-01-01,16:00:00,5.1,1996,"1996-01-01 16:00:00"
1996-01-01,17:00:00,4.4,1996,"1996-01-01 17:00:00"
1996-01-01,18:00:00,3.43,1996,"1996-01-01 18:00:00"
1996-01-01,19:00:00,2.32,1996,"1996-01-01 19:00:00"
1996-01-01,20:00:00,1.12,1996,"1996-01-01 20:00:00"
1996-01-01,21:00:00,0.26,1996,"1996-01-01 21:00:00"
1996-01-01,22:00:00,-0.07,1996,"1996-01-01 22:00:00"
1996-01-01,23:00:00,-0.25,1996,"1996-01-01 23:00:00"
1996-01-02,00:00:00,0.29,1996,"1996-01-02 00:00:00"
1996-01-02,01:00:00,1.04,1996,"1996-01-02 01:00:00"
1996-01-02,02:00:00,1.93,1996,"1996-01-02 02:00:00"
1996-01-02,03:00:00,2.71,1996,"1996-01-02 03:00:00"
1996-01-02,04:00:00,3.17,1996,"1996-01-02 04:00:00"
1996-01-02,05:00:00,3.38,1996,"1996-01-02 05:00:00"
1996-01-02,06:00:00,3.19,1996,"1996-01-02 06:00:00"
1996-01-02,07:00:00,2.93,1996,"1996-01-02 07:00:00"
1996-01-02,08:00:00,2.59,1996,"1996-01-02 08:00:00"
1996-01-02,09:00:00,2.32,1996,"1996-01-02 09:00:00"
1996-01-02,10:00:00,2.36,1996,"1996-01-02 10:00:00"
1996-01-02,11:00:00,2.77,1996,"1996-01-02 11:00:00"
1996-01-02,12:00:00,3.45,1996,"1996-01-02 12:00:00"
1996-01-02,13:00:00,4.28,1996,"1996-01-02 13:00:00"
1996-01-02,14:00:00,5.05,1996,"1996-01-02 14:00:00"
1996-01-02,15:00:00,5.64,1996,"1996-01-02 15:00:00"
1996-01-02,16:00:00,5.69,1996,"1996-01-02 16:00:00"
1996-01-02,17:00:00,5.25,1996,"1996-01-02 17:00:00"
1996-01-02,18:00:00,4.44,1996,"1996-01-02 18:00:00"
1996-01-02,19:00:00,3.22,1996,"1996-01-02 19:00:00"
1996-01-02,20:00:00,1.98,1996,"1996-01-02 20:00:00"
1996-01-02,21:00:00,0.78,1996,"1996-01-02 21:00:00"
1996-01-02,22:00:00,0.02,1996,"1996-01-02 22:00:00"
1996-01-02,23:00:00,-0.29,1996,"1996-01-02 23:00:00"
1996-01-03,00:00:00,-0.12,1996,"1996-01-03 00:00:00"
1996-01-03,01:00:00,0.52,1996,"1996-01-03 01:00:00"
1996-01-03,02:00:00,1.4,1996,"1996-01-03 02:00:00"
1996-01-03,03:00:00,2.25,1996,"1996-01-03 03:00:00"
1996-01-03,04:00:00,3.08,1996,"1996-01-03 04:00:00"
1996-01-03,05:00:00,3.56,1996,"1996-01-03 05:00:00"
1996-01-03,06:00:00,3.67,1996,"1996-01-03 06:00:00"
1996-01-03,07:00:00,3.39,1996,"1996-01-03 07:00:00"
1996-01-03,08:00:00,2.89,1996,"1996-01-03 08:00:00"
1996-01-03,09:00:00,2.6,1996,"1996-01-03 09:00:00"
1996-01-03,10:00:00,2.51,1996,"1996-01-03 10:00:00"
1996-01-03,11:00:00,2.65,1996,"1996-01-03 11:00:00"
1996-01-03,12:00:00,3.1,1996,"1996-01-03 12:00:00"
1996-01-03,13:00:00,3.81,1996,"1996-01-03 13:00:00"
1996-01-03,14:00:00,4.63,1996,"1996-01-03 14:00:00"
1996-01-03,15:00:00,5.34,1996,"1996-01-03 15:00:00"
1996-01-03,16:00:00,5.76,1996,"1996-01-03 16:00:00"
1996-01-03,17:00:00,5.58,1996,"1996-01-03 17:00:00"
1996-01-03,18:00:00,4.99,1996,"1996-01-03 18:00:00"
1996-01-03,19:00:00,3.92,1996,"1996-01-03 19:00:00"
1996-01-03,20:00:00,2.66,1996,"1996-01-03 20:00:00"
1996-01-03,21:00:00,1.39,1996,"1996-01-03 21:00:00"
1996-01-03,22:00:00,0.32,1996,"1996-01-03 22:00:00"
1996-01-03,23:00:00,-0.37,1996,"1996-01-03 23:00:00"
1996-01-04,00:00:00,-0.4,1996,"1996-01-04 00:00:00"
1996-01-04,01:00:00,-0.05,1996,"1996-01-04 01:00:00"
1996-01-04,02:00:00,0.75,1996,"1996-01-04 02:00:00"
1996-01-04,03:00:00,1.82,1996,"1996-01-04 03:00:00"
1996-01-04,04:00:00,2.71,1996,"1996-01-04 04:00:00"
1996-01-04,05:00:00,3.52,1996,"1996-01-04 05:00:00"
1996-01-04,06:00:00,3.71,1996,"1996-01-04 06:00:00"
1996-01-04,07:00:00,3.65,1996,"1996-01-04 07:00:00"
1996-01-04,08:00:00,3.47,1996,"1996-01-04 08:00:00"
1996-01-04,09:00:00,3.05,1996,"1996-01-04 09:00:00"
1996-01-04,10:00:00,2.73,1996,"1996-01-04 10:00:00"
1996-01-04,11:00:00,2.65,1996,"1996-01-04 11:00:00"
1996-01-04,12:00:00,2.92,1996,"1996-01-04 12:00:00"
1996-01-04,13:00:00,3.48,1996,"1996-01-04 13:00:00"
1996-01-04,14:00:00,4.32,1996,"1996-01-04 14:00:00"
1996-01-04,15:00:00,5.08,1996,"1996-01-04 15:00:00"
1996-01-04,16:00:00,5.68,1996,"1996-01-04 16:00:00"
1996-01-04,17:00:00,5.81,1996,"1996-01-04 17:00:00"
1996-01-04,18:00:00,5.38,1996,"1996-01-04 18:00:00"
1996-01-04,19:00:00,4.57,1996,"1996-01-04 19:00:00"
1996-01-04,20:00:00,3.37,1996,"1996-01-04 20:00:00"
1996-01-04,21:00:00,2.07,1996,"1996-01-04 21:00:00"
1996-01-04,22:00:00,0.76,1996,"1996-01-04 22:00:00"
1996-01-04,23:00:00,-0.09,1996,"1996-01-04 23:00:00"
1996-01-05,00:00:00,-0.46,1996,"1996-01-05 00:00:00"
1996-01-05,01:00:00,-0.32,1996,"1996-01-05 01:00:00"
1996-01-05,02:00:00,0.28,1996,"1996-01-05 02:00:00"
1996-01-05,03:00:00,1.17,1996,"1996-01-05 03:00:00"
1996-01-05,04:00:00,2.18,1996,"1996-01-05 04:00:00"
1996-01-05,05:00:00,2.98,1996,"1996-01-05 05:00:00"
1996-01-05,06:00:00,3.56,1996,"1996-01-05 06:00:00"
1996-01-05,07:00:00,3.65,1996,"1996-01-05 07:00:00"
1996-01-05,08:00:00,3.57,1996,"1996-01-05 08:00:00"
1996-01-05,09:00:00,3.17,1996,"1996-01-05 09:00:00"
1996-01-05,10:00:00,2.8,1996,"1996-01-05 10:00:00"
1996-01-05,11:00:00,2.61,1996,"1996-01-05 11:00:00"
1996-01-05,12:00:00,2.61,1996,"1996-01-05 12:00:00"
1996-01-05,13:00:00,3.06,1996,"1996-01-05 13:00:00"
1996-01-05,14:00:00,3.57,1996,"1996-01-05 14:00:00"
1996-01-05,15:00:00,4.47,1996,"1996-01-05 15:00:00"
1996-01-05,16:00:00,5.24,1996,"1996-01-05 16:00:00"
1996-01-05,17:00:00,5.5,1996,"1996-01-05 17:00:00"
1996-01-05,18:00:00,5.5,1996,"1996-01-05 18:00:00"
1996-01-05,19:00:00,4.72,1996,"1996-01-05 19:00:00"
1996-01-05,20:00:00,3.83,1996,"1996-01-05 20:00:00"
1996-01-05,21:00:00,2.51,1996,"1996-01-05 21:00:00"
1996-01-05,22:00:00,1.27,1996,"1996-01-05 22:00:00"
1996-01-05,23:00:00,0.17,1996,"1996-01-05 23:00:00"
1996-01-06,00:00:00,-0.57,1996,"1996-01-06 00:00:00"
1996-01-06,01:00:00,-0.74,1996,"1996-01-06 01:00:00"
1996-01-06,02:00:00,-0.25,1996,"1996-01-06 02:00:00"
1996-01-06,03:00:00,0.59,1996,"1996-01-06 03:00:00"
1996-01-06,04:00:00,1.58,1996,"1996-01-06 04:00:00"
1996-01-06,05:00:00,2.61,1996,"1996-01-06 05:00:00"
1996-01-06,06:00:00,3.3,1996,"1996-01-06 06:00:00"
1996-01-06,07:00:00,3.7,1996,"1996-01-06 07:00:00"
1996-01-06,08:00:00,3.73,1996,"1996-01-06 08:00:00"
1996-01-06,09:00:00,3.42,1996,"1996-01-06 09:00:00"
1996-01-06,10:00:00,2.97,1996,"1996-01-06 10:00:00"
1996-01-06,11:00:00,2.61,1996,"1996-01-06 11:00:00"
1996-01-06,12:00:00,2.52,1996,"1996-01-06 12:00:00"
1996-01-06,13:00:00,2.67,1996,"1996-01-06 13:00:00"
1996-01-06,14:00:00,3.2,1996,"1996-01-06 14:00:00"
1996-01-06,15:00:00,3.89,1996,"1996-01-06 15:00:00"
1996-01-06,16:00:00,4.58,1996,"1996-01-06 16:00:00"
1996-01-06,17:00:00,5.12,1996,"1996-01-06 17:00:00"
1996-01-06,18:00:00,5.38,1996,"1996-01-06 18:00:00"
1996-01-06,19:00:00,5.17,1996,"1996-01-06 19:00:00"
1996-01-06,20:00:00,4.36,1996,"1996-01-06 20:00:00"
1996-01-06,21:00:00,3.22,1996,"1996-01-06 21:00:00"
1996-01-06,22:00:00,1.9,1996,"1996-01-06 22:00:00"
1996-01-06,23:00:00,0.73,1996,"1996-01-06 23:00:00"
1996-01-07,00:00:00,-0.14,1996,"1996-01-07 00:00:00"
1996-01-07,01:00:00,-0.5,1996,"1996-01-07 01:00:00"
1996-01-07,02:00:00,-0.37,1996,"1996-01-07 02:00:00"
1996-01-07,03:00:00,0.16,1996,"1996-01-07 03:00:00"
1996-01-07,04:00:00,1.1,1996,"1996-01-07 04:00:00"
1996-01-07,05:00:00,2.12,1996,"1996-01-07 05:00:00"
1996-01-07,06:00:00,2.99,1996,"1996-01-07 06:00:00"
1996-01-07,07:00:00,3.58,1996,"1996-01-07 07:00:00"
1996-01-07,08:00:00,3.8,1996,"1996-01-07 08:00:00"
1996-01-07,09:00:00,3.69,1996,"1996-01-07 09:00:00"
1996-01-07,10:00:00,3.33,1996,"1996-01-07 10:00:00"
1996-01-07,11:00:00,2.87,1996,"1996-01-07 11:00:00"
1996-01-07,12:00:00,2.64,1996,"1996-01-07 12:00:00"
1996-01-07,13:00:00,2.57,1996,"1996-01-07 13:00:00"
1996-01-07,14:00:00,2.89,1996,"1996-01-07 14:00:00"
1996-01-07,15:00:00,3.47,1996,"1996-01-07 15:00:00"
1996-01-07,16:00:00,4.27,1996,"1996-01-07 16:00:00"
1996-01-07,17:00:00,4.93,1996,"1996-01-07 17:00:00"
1996-01-07,18:00:00,5.37,1996,"1996-01-07 18:00:00"
1996-01-07,19:00:00,5.32,1996,"1996-01-07 19:00:00"
1996-01-07,20:00:00,4.8,1996,"1996-01-07 20:00:00"
1996-01-07,21:00:00,3.9,1996,"1996-01-07 21:00:00"
1996-01-07,22:00:00,2.73,1996,"1996-01-07 22:00:00"
1996-01-07,23:00:00,1.49,1996,"1996-01-07 23:00:00"
1996-01-08,00:00:00,0.48,1996,"1996-01-08 00:00:00"
1996-01-08,01:00:00,-0.22,1996,"1996-01-08 01:00:00"
1996-01-08,02:00:00,-0.36,1996,"1996-01-08 02:00:00"
1996-01-08,03:00:00,-0.06,1996,"1996-01-08 03:00:00"
1996-01-08,04:00:00,0.73,1996,"1996-01-08 04:00:00"
1996-01-08,05:00:00,1.72,1996,"1996-01-08 05:00:00"
1996-01-08,06:00:00,2.7,1996,"1996-01-08 06:00:00"
1996-01-08,07:00:00,3.44,1996,"1996-01-08 07:00:00"
1996-01-08,08:00:00,3.9,1996,"1996-01-08 08:00:00"
1996-01-08,09:00:00,4.01,1996,"1996-01-08 09:00:00"
1996-01-08,10:00:00,3.63,1996,"1996-01-08 10:00:00"
1996-01-08,11:00:00,3.25,1996,"1996-01-08 11:00:00"
1996-01-08,12:00:00,2.84,1996,"1996-01-08 12:00:00"
1996-01-08,13:00:00,2.6,1996,"1996-01-08 13:00:00"
1996-01-08,14:00:00,2.71,1996,"1996-01-08 14:00:00"
1996-01-08,15:00:00,3.06,1996,"1996-01-08 15:00:00"
1996-01-08,16:00:00,3.67,1996,"1996-01-08 16:00:00"
1996-01-08,17:00:00,4.33,1996,"1996-01-08 17:00:00"
1996-01-08,18:00:00,4.88,1996,"1996-01-08 18:00:00"
1996-01-08,19:00:00,5.11,1996,"1996-01-08 19:00:00"
1996-01-08,20:00:00,4.99,1996,"1996-01-08 20:00:00"
1996-01-08,21:00:00,4.3,1996,"1996-01-08 21:00:00"
1996-01-08,22:00:00,3.3,1996,"1996-01-08 22:00:00"
1996-01-08,23:00:00,2.23,1996,"1996-01-08 23:00:00"
1996-01-09,00:00:00,1.13,1996,"1996-01-09 00:00:00"
1996-01-09,01:00:00,0.36,1996,"1996-01-09 01:00:00"
1996-01-09,02:00:00,-0.11,1996,"1996-01-09 02:00:00"
1996-01-09,03:00:00,-0.07,1996,"1996-01-09 03:00:00"
1996-01-09,04:00:00,0.54,1996,"1996-01-09 04:00:00"
1996-01-09,05:00:00,1.28,1996,"1996-01-09 05:00:00"
1996-01-09,06:00:00,2.34,1996,"1996-01-09 06:00:00"
1996-01-09,07:00:00,3.31,1996,"1996-01-09 07:00:00"
1996-01-09,08:00:00,3.86,1996,"1996-01-09 08:00:00"
1996-01-09,09:00:00,4.01,1996,"1996-01-09 09:00:00"
1996-01-09,10:00:00,3.93,1996,"1996-01-09 10:00:00"
1996-01-09,11:00:00,3.6,1996,"1996-01-09 11:00:00"
1996-01-09,12:00:00,3.08,1996,"1996-01-09 12:00:00"
1996-01-09,13:00:00,2.66,1996,"1996-01-09 13:00:00"
1996-01-09,14:00:00,2.43,1996,"1996-01-09 14:00:00"
1996-01-09,15:00:00,2.65,1996,"1996-01-09 15:00:00"
1996-01-09,16:00:00,3.05,1996,"1996-01-09 16:00:00"
1996-01-09,17:00:00,3.62,1996,"1996-01-09 17:00:00"
1996-01-09,18:00:00,4.21,1996,"1996-01-09 18:00:00"
1996-01-09,19:00:00,4.55,1996,"1996-01-09 19:00:00"
1996-01-09,20:00:00,4.61,1996,"1996-01-09 20:00:00"
1996-01-09,21:00:00,4.38,1996,"1996-01-09 21:00:00"
1996-01-09,22:00:00,3.56,1996,"1996-01-09 22:00:00"
1996-01-09,23:00:00,2.59,1996,"1996-01-09 23:00:00"
1996-01-10,00:00:00,1.64,1996,"1996-01-10 00:00:00"
1996-01-10,01:00:00,0.7,1996,"1996-01-10 01:00:00"
1996-01-10,02:00:00,0.27,1996,"1996-01-10 02:00:00"
1996-01-10,03:00:00,0.12,1996,"1996-01-10 03:00:00"
1996-01-10,04:00:00,0.4,1996,"1996-01-10 04:00:00"
1996-01-10,05:00:00,1.09,1996,"1996-01-10 05:00:00"
1996-01-10,06:00:00,1.77,1996,"1996-01-10 06:00:00"
1996-01-10,07:00:00,2.83,1996,"1996-01-10 07:00:00"
1996-01-10,08:00:00,3.6,1996,"1996-01-10 08:00:00"
1996-01-10,09:00:00,3.98,1996,"1996-01-10 09:00:00"
1996-01-10,10:00:00,4.06,1996,"1996-01-10 10:00:00"
1996-01-10,11:00:00,3.77,1996,"1996-01-10 11:00:00"
1996-01-10,12:00:00,3.34,1996,"1996-01-10 12:00:00"
